code,bcp47,name
aa,aa,Afar
aae,aae,Arbëresh
ab,ab,Abkhazian
abs,abs,Ambonese Malay
ace,ace,Achinese
acf,acf,Saint Lucian Creole
acm,acm,Iraqi Arabic
ady,ady,Adyghe
ady-cyrl,ady-Cyrl,Adyghe (Cyrillic script)
aeb,aeb,Tunisian Arabic
aeb-arab,aeb-Arab,Tunisian Arabic (Arabic script)
aeb-latn,aeb-Latn,Tunisian Arabic (Latin script)
af,af,Afrikaans
aln,aln,Gheg Albanian
als,gsw,Alemannisch
alt,alt,Southern Altai
am,am,Amharic
ami,ami,Amis
an,an,Aragonese
ang,ang,Old English
ann,ann,Obolo
anp,anp,Angika
apc,apc,Levantine Arabic
ar,ar,Arabic
arc,arc,Aramaic
arn,arn,Mapuche
arq,arq,Algerian Arabic
ary,ary,Moroccan Arabic
arz,arz,Egyptian Arabic
as,as,Assamese
ase,ase,American Sign Language
ast,ast,Asturian
atj,atj,Atikamekw
av,av,Avaric
avk,avk,Kotava
awa,awa,Awadhi
ay,ay,Aymara
az,az,Azerbaijani
azb,azb,South Azerbaijani
ba,ba,Bashkir
ban,ban,Balinese
ban-bali,ban-Bali,Balinese (Balinese script)
bar,bar,Bavarian
bat-smg,sgs,Samogitian
bbc,bbc,Batak Toba
bbc-latn,bbc-Latn,Batak Toba (Latin script)
bcc,bcc,Southern Balochi
bci,bci,Baoulé
bcl,bcl,Central Bikol
bdr,bdr,West Coast Bajau
be,be,Belarusian
be-tarask,be-tarask,Belarusian (Taraškievica orthography)
be-x-old,be-tarask,Belarusian (Taraškievica orthography)
bew,bew,Betawi
bg,bg,Bulgarian
bgc,bgc,Haryanvi
bgn,bgn,Western Balochi
bh,bh,Bhojpuri
bho,bho,Bhojpuri
bi,bi,Bislama
bjn,bjn,Banjar
blk,blk,Pa'O
bm,bm,Bambara
bn,bn,Bangla
bo,bo,Tibetan
bpy,bpy,Bishnupriya
bqi,bqi,Bakhtiari
br,br,Breton
brh,brh,Brahui
bs,bs,Bosnian
btm,btm,Batak Mandailing
bto,bto,Iriga Bicolano
bug,bug,Buginese
bxr,bxr,Russia Buriat
ca,ca,Catalan
cbk-zam,cbk,Chavacano
ccp,ccp,Chakma
cdo,cdo,Mindong
ce,ce,Chechen
ceb,ceb,Cebuano
ch,ch,Chamorro
chn,chn,Chinook Jargon
cho,cho,Choctaw
chr,chr,Cherokee
chy,chy,Cheyenne
ckb,ckb,Central Kurdish
co,co,Corsican
cps,cps,Capiznon
cpx,cpx,Puxian
cpx-hans,cpx-Hans,Puxian (Simplified Han script)
cpx-hant,cpx-Hant,Puxian (Traditional Han script)
cpx-latn,cpx-Latn,Puxian (Latin script)
cr,cr,Cree
crh,crh,Crimean Tatar
crh-cyrl,crh-Cyrl,Crimean Tatar (Cyrillic script)
crh-latn,crh-Latn,Crimean Tatar (Latin script)
crh-ro,crh-Latn-RO,Dobrujan Tatar
cs,cs,Czech
csb,csb,Kashubian
cu,cu,Church Slavic
cv,cv,Chuvash
cy,cy,Welsh
da,da,Danish
dag,dag,Dagbani
de,de,German
de-at,de-AT,Austrian German
de-ch,de-CH,Swiss High German
de-formal,de-x-formal,German (formal address)
dga,dga,Dagaare
din,din,Dinka
diq,diq,Zazaki
dsb,dsb,Lower Sorbian
dtp,dtp,Central Dusun
dty,dty,Doteli
dv,dv,Divehi
dz,dz,Dzongkha
ee,ee,Ewe
efi,efi,Efik
egl,egl,Emilian
el,el,Greek
eml,egl,Emiliano-Romagnolo
en,en,English
en-ca,en-CA,Canadian English
en-gb,en-GB,British English
eo,eo,Esperanto
es,es,Spanish
es-419,es-419,Latin American Spanish
es-formal,es-x-formal,Spanish (formal address)
et,et,Estonian
eu,eu,Basque
ext,ext,Extremaduran
fa,fa,Persian
fat,fat,Fanti
ff,ff,Fula
fi,fi,Finnish
fit,fit,Tornedalen Finnish
fiu-vro,vro,võro
fj,fj,Fijian
fo,fo,Faroese
fon,fon,Fon
fr,fr,French
frc,frc,Cajun French
frp,frp,Arpitan
frr,frr,Northern Frisian
fur,fur,Friulian
fy,fy,Western Frisian
ga,ga,Irish
gaa,gaa,Ga
gag,gag,Gagauz
gan,gan,Gan
gan-hans,gan-Hans,Gan (Simplified Han script)
gan-hant,gan-Hant,Gan (Traditional Han script)
gcf,gcf,Guadeloupean Creole
gcr,gcr,Guianan Creole
gd,gd,Scottish Gaelic
gl,gl,Galician
gld,gld,Nanai
glk,glk,Gilaki
gn,gn,Guarani
gom,gom,Goan Konkani
gom-deva,gom-Deva,Goan Konkani (Devanagari script)
gom-latn,gom-Latn,Goan Konkani (Latin script)
gor,gor,Gorontalo
got,got,Gothic
gpe,gpe,Ghanaian Pidgin
grc,grc,Ancient Greek
gsw,gsw,Alemannic
gu,gu,Gujarati
guc,guc,Wayuu
gur,gur,Frafra
guw,guw,Gun
gv,gv,Manx
ha,ha,Hausa
hak,hak,Hakka Chinese
hak-hans,hak-Hans,Hakka (Simplified Han script)
hak-hant,hak-Hant,Hakka (Traditional Han script)
hak-latn,hak-Latn,Hak-kâ-ngî (Pha̍k-fa-sṳ)
haw,haw,Hawaiian
he,he,Hebrew
hi,hi,Hindi
hif,hif,Fiji Hindi
hif-latn,hif-Latn,Fiji Hindi (Latin script)
hil,hil,Hiligaynon
hno,hno,Northern Hindko
ho,ho,Hiri Motu
hr,hr,Croatian
hrx,hrx,Hunsrik
hsb,hsb,Upper Sorbian
hsn,hsn,Xiang
ht,ht,Haitian Creole
hu,hu,Hungarian
hu-formal,hu-x-formal,Hungarian (formal address)
hy,hy,Armenian
hyw,hyw,Western Armenian
hz,hz,Herero
ia,ia,Interlingua
iba,iba,Iban
ibb,ibb,Ibibio
id,id,Indonesian
ie,ie,Interlingue
ig,ig,Igbo
igl,igl,Igala
ii,ii,Sichuan Yi
ik,ik,Inupiaq
ike-cans,ike-Cans,Eastern Canadian (Aboriginal syllabics)
ike-latn,ike-Latn,Eastern Canadian (Latin script)
ilo,ilo,Iloko
inh,inh,Ingush
io,io,Ido
is,is,Icelandic
isv-cyrl,isv-Cyrl,меджусловјанскы
isv-latn,isv-Latn,Interslavic (Latin script)
it,it,Italian
iu,iu,Inuktitut
ja,ja,Japanese
jam,jam,Jamaican Creole English
jbo,jbo,Lojban
jut,jut,Jutish
jv,jv,Javanese
ka,ka,Georgian
kaa,kaa,Kara-Kalpak
