type,title,description,on_english_wikipedia,label,sitelinks
Q1248784,Airport,"location where aircraft take off and land with extended support facilities, mostly for commercial air transport",TRUE,airport,
Q94993988,NA,aerodrome having regular airline traffic,FALSE,commercial traffic aerodrome,
Q14192199,NA,Australian administrative territorial subdivision,FALSE,territory of Australia,
Q14192234,NA,subdivision of Australia,FALSE,mainland territory of Australia,
Q62447,Aerodrome,location from which aircraft flight operations take place,TRUE,aerodrome,
Q6256,Country,distinct territorial body or political entity,TRUE,country,
Q43702,Federation,"state consisting of a union of partially self-governing states or territories, united by a central (federal) government that exercizes directly on them its sovereign power",TRUE,federation,
Q3624078,Sovereign state,state that has the highest authority over a territory,TRUE,sovereign state,
Q39594,Bay,"body of water connected to an ocean or lake, formed by an indentation of the shoreline",TRUE,bay,
Q515,City,large human settlement,TRUE,city,
Q257391,Federal capital,national capital city in a federal state,TRUE,federal capital,
Q1549591,NA,"city with a population of at least 100,000",FALSE,big city,
Q15840617,NA,type of city which is planned to built as national capital,FALSE,planned national capital,
Q114496982,NA,NA,FALSE,political city,
Q200250,Metropolis,large and significant city or urban area usually with millions of inhabitants,TRUE,metropolis,
Q208511,Global city,city which is an important node in the global economy,TRUE,global city,
Q1066984,Financial centre,"city that is home to a large number of internationally significant banks, businesses, and stock exchanges",TRUE,financial centre,
Q11271835,NA,capital city of a subnational entity,FALSE,state capital,
Q51929311,NA,city which has the greatest population in a country,FALSE,largest city,
Q1907114,Metropolitan area,administrative unit of a dense urban core and its satellite cities,TRUE,metropolitan area,
Q7309306,Regions of Victoria,"economic regions of Victoria, Australia",TRUE,region of Victoria,
Q5852411,NA,administrative subdivision in Australia,FALSE,state of Australia,
Q171441,Enclave,territory entirely surrounded by another territory,TRUE,enclave,
Q18618819,NA,an area of land designated as a national park by legislation of the Commonwealth of Australia (federal government) or one of the states or territories of Australia,FALSE,national park of Australia,
Q46169,National park,park used for conservation purposes of animal life and plants,TRUE,national park,
Q2232001,Show cave,"cave managed by an organization and made accessible to the general public, usually for an entrance fee",TRUE,show cave,
Q5107,Continent,large landmass identified by convention,TRUE,continent,
Q8514,Desert,barren area of land where little precipitation occurs,TRUE,desert,
Q3257686,NA,place of human settlement,FALSE,locality,
Q17272482,NA,NA,FALSE,time zone named for a UTC offset,
Q11292,Coral reef,ridge of rock in the sea formed by the growth and deposit of coral,TRUE,coral reef,
Q82794,Region,"2D or 3D defined space on something, mainly in terrestrial and astrophysics sciences",TRUE,geographic region,
Q188509,Suburb,human settlement that is part of/or near to a larger city or town,TRUE,suburb,
Q644371,International airport,airport serving international destinations,TRUE,international airport,
Q837800,Domestic airport,airport with scheduled traffic exclusively to domestic destinations,TRUE,domestic airport,
Q3957,Town,settlement that is smaller than a city but bigger than a large village (or a large borough in some areas),TRUE,town,
Q695850,Air base,aerodrome used by a military force for the operation of military aircraft,TRUE,air base,
Q1074523,Planned community,detailed developed land,TRUE,planned community,
Q28942344,NA,settlement populated primarily by Indigenous Australian people,FALSE,Indigenous Australian community,
Q350895,Abandoned village,village that has been deserted,TRUE,abandoned village,
Q55558027,NA,third-tier administrative area in South Australia,FALSE,local government area of South Australia,
Q738570,Central business district,"commercial and business area of a city; not necessarily synonymous with ""city center""/""downtown""",TRUE,central business district,
Q30129411,NA,"defunct councils, shires, cities, etc in Australia",FALSE,former local government area of Australia,
Q55558200,NA,"third-tier of government in New South Wales, Australia",FALSE,local government area of New South Wales,
Q32815,Mosque,place of worship for followers of Islam,TRUE,mosque,
Q37901,Strait,"naturally formed, narrow waterway that connects two larger bodies of water",TRUE,strait,
Q23442,Island,piece of sub-continental land completely surrounded by water,TRUE,island,
Q852190,Shipwreck,remains of a ship that has wrecked,TRUE,shipwreck,
Q4022,River,larger natural watercourse,TRUE,river,
Q165,Sea,large body of saline water,TRUE,sea,
Q1139493,Inselberg,"isolated rock hill, knob, ridge, or small mountain in the tropics, rises abruptly from a gently sloping or virtually level surrounding plain",TRUE,inselberg,
Q1402592,Island group,"collection of islands, excluding neighbouring water; use archipelago (Q33837) for a group of islands including the water between them",TRUE,island group,
Q11687019,NA,subdivision of Australia,FALSE,external territory of Australia,
Q34038,Waterfall,place where water flows over a steep or vertical drop,TRUE,waterfall,
Q55593624,NA,"third-tier of government in Queensland, Australia",FALSE,local government area of Queensland,
Q1348073,Underground city,series of linked subterranean spaces,TRUE,underground city,
Q26907711,NA,administrative division of the Australian Capital Territory in Australia,FALSE,district of the Australian Capital Territory,
Q43501,Zoo,"collection of assorted wild animal species kept for purposes like: study, conservation and, or, commercial exhibition",TRUE,zoo,
Q728937,NA,"constructional unit in rail transport, the route or way of rail tracks between defined locations",FALSE,railway line,
Q1007870,Art gallery,place where art is exhibited and sometimes also sold,TRUE,art gallery,
Q98433835,NA,gazetted geographic subdivision of Tasmania,FALSE,suburb/locality of Tasmania,
Q55557858,NA,third-tier of government in Western Australia,FALSE,local government area of Western Australia,
Q2713747,Electorates of the Australian House of Representatives,federal electorates in Australia,TRUE,division of the Australian House of Representatives,
Q7632426,Suburbs and localities (Australia),gazetted geographic subdivision of Australia,TRUE,suburb/locality,
Q46831,Mountain range,geographic area containing several geologically related mountains,TRUE,mountain range,
Q3663773,Cattle station,"large Australian farm (station, the equivalent of an American ranch), whose main activity is the rearing of cattle",TRUE,cattle station,
Q34442,Road,"wide way leading from one place to another, especially one with a specially prepared surface which vehicles can use",TRUE,road,
Q4839591,Backcountry,isolated area,TRUE,backcountry,
Q2338524,Car track,race track for motor vehicles,TRUE,motorsport racing track,
Q2389789,Steel roller coaster,type of roller coaster that is defined by having a track made of steel,TRUE,steel roller coaster,
Q8502,Mountain,large natural elevation of the Earth's surface,TRUE,mountain,
Q1640361,Climbing area,small geographical region with a concentration of opportunities for climbing,TRUE,climbing area,
Q641226,Arena,"enclosed area designed to host sporting events, theater, and musical performances",TRUE,arena,
Q532,Village,small clustered human settlement smaller than a town,TRUE,village,
Q28942368,NA,type of protected area in New South Wales,FALSE,nature reserve of New South Wales,
Q104880945,Climate emergency declarations in Australia,"to be used in ""instance of"" (P31) to indicate an Australian area has declared a climate emergency",TRUE,climate emergency declaration area in Australia,
Q3146899,NA,see under the supervision of a bishop of the Catholic church,FALSE,diocese of the Catholic Church,
Q272231,Arboretum,botanical garden containing living collections of woody plants intended at least partly for scientific study,TRUE,arboretum,
Q55687066,NA,"third-tier of government in Tasmania, Australia",FALSE,local government area of Tasmania,
Q188443,Micronation,"small, unrecognized country",TRUE,micronation,
Q131681,Reservoir,artificial lake impounded using a dam or lock to store water,TRUE,reservoir,
Q1426035,Local government in Victoria,"third-tier of government in Victoria, Australia",TRUE,local government area of Victoria,
Q41176,Building,"structure, typically with a roof and walls, standing more or less permanently in one place",TRUE,building,
Q75520,Plateau,high flat terrain,TRUE,plateau,
Q570116,Tourist attraction,place of interest where tourists visit,TRUE,tourist attraction,
Q369730,Pedestrian zone,area of a city or town reserved for pedestrian-only use,TRUE,pedestrian zone,
Q15643757,NA,NA,FALSE,shire of Western Australia,
Q24529780,NA,"tapering landform, projecting into a body of water",FALSE,point,
Q1802963,Mansion,very large and imposing dwelling house,TRUE,mansion,
Q28941950,NA,NA,FALSE,conservation park of South Australia,
Q55671590,NA,"third-tier of government in the Northern Territory, Australia",FALSE,local government area of the Northern Territory,
Q22746,Urban park,park in a city or other incorporated place,TRUE,urban park,
Q483110,Stadium,"place or venue for (mostly) outdoor sports, concerts, or other events",TRUE,stadium,
Q45242174,NA,"bounded locality in Victoria, Australia registered under section 11 of the Geographic Place Names Act 1998 (Vic)",FALSE,gazetted locality of Victoria,
Q23397,Lake,"body of relatively still water, localized in a basin",TRUE,lake,
Q188025,Salt lake,landlocked body of water which has a high concentration of salts,TRUE,salt lake,
Q483453,Fountain,piece of architecture that ejects water,TRUE,fountain,
Q358,NA,general term for a site of cultural heritage for a specific country (please avoid as a P31 value except for large sites containing multiple entities),FALSE,heritage site,
Q1049757,Multi-purpose stadium,venue designed to be used for multiple types of sports events,TRUE,multi-purpose sports venue,
Q74539696,NA,former sports venue,FALSE,defunct sports venue,
Q5478580,Protected areas of Queensland,Wikimedia list article,TRUE,protected area of Queensland,
Q153562,Opera house,theatre building used for opera performances,TRUE,opera house,
Q2319498,Landmark building,"geographic feature or building, that is easily recognizable and/or well known",TRUE,architectural landmark,
Q38048707,NA,class of cultural heritage site of Australia,FALSE,historical cultural heritage site,
Q33837,Archipelago,collection of islands including the water around them,TRUE,archipelago,
Q486972,Human settlement,"place of any size, in which people permanently live",TRUE,human settlement,
Q283202,Harbor,"sheltered body of water where ships, boats, and barges can be docked",TRUE,harbor,
Q167346,Botanical garden,well-tended area displaying a wide range of plants labelled with their botanical names,TRUE,botanical garden,
Q18142,Tower block,tall building; as opposed to a low-rise building,TRUE,tower block,
Q1021645,Office building,building which contains spaces mainly designed to be used for offices,TRUE,office building,
Q11303,Skyscraper,very tall building,TRUE,skyscraper,
Q1378975,Convention center,building designed to hold a convention,TRUE,convention center,
Q5592057,Through arch bridge,type of bridge,TRUE,through arch bridge,
Q6636777,Road–rail bridge,bridge carrying both a roadway and a railway,TRUE,road-rail bridge,
Q7814330,Toll bridge,bridge for which road usage tolls are charged,TRUE,toll bridge,
Q12042110,NA,bridge made of steel,FALSE,steel bridge,
Q18615527,NA,bridge carrying tram line,FALSE,tram bridge,
Q11315,Shopping center,complex of shops,TRUE,shopping center,
Q55488,Train station,railway facility where trains regularly stop to load or unload passengers and/or freight,TRUE,railway station,
Q22808404,NA,type of station,FALSE,station located on surface,
Q114782406,NA,railway stations with two or more different gauges,FALSE,break-of-gauge station,
Q748198,Gay village,geographical area within a city that is inhabited or frequented by LGBT people,TRUE,gay village,
Q60297,Regions of Western Australia,Administrative regions of Western Australia,TRUE,Regions of Western Australia,
Q39715,Lighthouse,structure designed to emit light to aid navigation,TRUE,lighthouse,
Q185113,Cape (geography),"headland of large size extending into a body of water, usually the sea",TRUE,cape,
Q191992,Headland,"landform extending into a body of water, often with significant height and drop",TRUE,headland,
Q109607,Ruins,remains of human-made architecture,TRUE,ruins,
Q890545,Arch dam,solid dam made of concrete that is curved upstream in plan,TRUE,arch dam,
Q813672,Basin (geomorphology),geologic depression,TRUE,basin,
Q749565,Structural basin,geological depression,TRUE,structural basin,
Q40357,Prison,place in which people legally are physically confined and usually deprived of a range of personal freedoms,TRUE,prison,
Q133215,Casino,facility which houses and accommodates certain types of gambling activities,TRUE,casino,
