pageid,ns,title,type,sitelink,personLabel,personDescription,genderLabel,dob,dod,pobLabel,person,indigenous,indig_filter,project,page,watchers,pageviews,pageviews_offset,revisions,editors,ip_edits,minor_edits,author,author_editcount,created_at,created_rev_id,modified_at,secs_since_last_edit,last_edit_id,assessment,elapsed_time
3919612,0,Vince Colosimo,page,https://en.wikipedia.org/wiki/Vince_Colosimo,Vince Colosimo,Australian actor,male,1966-11-06,NA,Melbourne,http://www.wikidata.org/entity/Q7931468,not indigenous,keep,en.wikipedia.org,Vince Colosimo,0,5812,30,468,290,195,125,,1562,2006-02-01,37659250,2023-05-10 07:21,5071539,1154098232,,0.288
41061920,0,Peter Comensoli,page,https://en.wikipedia.org/wiki/Peter_Comensoli,Peter Comensoli,"Catholic archbishop of Melbourne, Victoria, Australia",male,1964-03-25,NA,Wollongong,http://www.wikidata.org/entity/Q1329203,not indigenous,keep,en.wikipedia.org,Peter Comensoli,0,417,30,146,70,38,38,,93,2013-11-12,581370360,2023-03-12 17:36,10132242,1144248969,,0.193
3033209,0,Dennis Cometti,page,https://en.wikipedia.org/wiki/Dennis_Cometti,Dennis Cometti,Australian rules football commentator,male,1949-03-26,NA,Geraldton,http://www.wikidata.org/entity/Q5258289,not indigenous,keep,en.wikipedia.org,Dennis Cometti,0,1808,30,481,231,167,124,,10126,2005-10-30,26848715,2023-05-26 05:28,3695935,1157084652,,0.269
29862979,0,Reece Conca,page,https://en.wikipedia.org/wiki/Reece_Conca,Reece Conca,Australian rules footballer,male,1992-08-12,NA,NA,http://www.wikidata.org/entity/Q7306568,not indigenous,keep,en.wikipedia.org,Reece Conca,0,673,30,177,84,52,35,,151848,2010-12-03,400237829,2023-06-29 21:34,700364,1162557739,,0.198
32560418,0,Stephen Coniglio,page,https://en.wikipedia.org/wiki/Stephen_Coniglio,Stephen Coniglio,Australian rules footballer,male,1993-12-15,NA,Greenmount,http://www.wikidata.org/entity/Q7608932,not indigenous,keep,en.wikipedia.org,Stephen Coniglio,0,1073,30,341,173,153,63,,42720,2011-07-28,441857082,2023-05-14 06:36,4728636,1154717233,,0.25
51073607,0,Monique Conti,page,https://en.wikipedia.org/wiki/Monique_Conti,Monique Conti,Australian rules footballer,female,1999-12-09,NA,Fitzroy,http://www.wikidata.org/entity/Q25915831,not indigenous,keep,en.wikipedia.org,Monique Conti,0,362,30,283,37,4,184,,4552,2016-07-14,729797423,2023-06-02 01:55,3103916,1158113095,,0.16
2680584,0,Steve Corica,page,https://en.wikipedia.org/wiki/Steve_Corica,Steve Corica,Australian association football player,male,1973-03-24,NA,Innisfail,http://www.wikidata.org/entity/Q979954,not indigenous,keep,en.wikipedia.org,Steve Corica,0,1281,30,496,257,168,133,,2005,2005-09-15,23254956,2023-07-05 14:55,205922,1163557708,,0.273
64532165,0,Tony Cosatto,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Tony Cosatto,0,60,30,13,12,5,3,,375,2020-07-12,967359075,2022-09-24 05:53,24776028,1112010292,,0.163
28357899,0,Stewart Crameri,page,https://en.wikipedia.org/wiki/Stewart_Crameri,Stewart Crameri,Australian rules footballer,male,1988-08-10,NA,NA,http://www.wikidata.org/entity/Q16204963,not indigenous,keep,en.wikipedia.org,Stewart Crameri,0,466,30,214,92,85,38,,54,2009-12-15,331768938,2023-05-07 03:44,5343754,1153567060,,0.249
54219977,0,Jordan Cunico,page,https://en.wikipedia.org/wiki/Jordan_Cunico,Jordan Cunico,Australian rules footballer,male,1996-05-07,NA,NA,http://www.wikidata.org/entity/Q30125492,not indigenous,keep,en.wikipedia.org,Jordan Cunico,0,71,30,18,12,7,5,,99803,2017-06-04,783758673,2023-05-07 03:48,5343554,1153567448,,0.169
11249767,0,Frank Curcio,page,https://en.wikipedia.org/wiki/Frank_Curcio,Frank Curcio,Australian rules footballer and coach (1912-1988),male,1912-11-25,1988-11-11,Melbourne,http://www.wikidata.org/entity/Q5486073,not indigenous,keep,en.wikipedia.org,Frank Curcio,0,108,30,158,51,17,96,,2241959,2007-05-16,131209036,2022-10-08 05:09,23569084,1114769654,,0.202
48556356,0,Nicholas D'Agostino (soccer),page,https://en.wikipedia.org/wiki/Nicholas_D%27Agostino_(soccer),Nicholas D'Agostino,association football player,male,1998-02-25,NA,Sydney,http://www.wikidata.org/entity/Q21621104,not indigenous,keep,en.wikipedia.org,Nicholas D'Agostino (soccer),0,1290,30,178,78,31,34,,40184,2015-11-15,690719462,2023-07-06 10:48,134366,1163757983,,0.205
15480679,0,Tony D'Alberto,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Tony D'Alberto,0,340,30,225,97,68,54,,42844,2008-01-29,187679836,2023-05-26 21:11,3639379,1157176494,,0.241
9514910,0,Angela D'Amore,page,https://en.wikipedia.org/wiki/Angela_D%27Amore,Angela D'Amore,Australian politician,female,1971-10-10,NA,Sydney,http://www.wikidata.org/entity/Q4762419,not indigenous,keep,en.wikipedia.org,Angela D'Amore,0,61,30,129,60,18,45,,223042,2007-02-15,108249204,2023-05-22 05:22,4041898,1156294591,,0.22
6210724,0,Adam D'Apuzzo,page,https://en.wikipedia.org/wiki/Adam_D%27Apuzzo,Adam D'Apuzzo,Australian soccer player,male,1986-10-20,NA,Sydney,http://www.wikidata.org/entity/Q4678923,not indigenous,keep,en.wikipedia.org,Adam D'Apuzzo,0,85,30,242,112,88,44,,66890,2006-08-01,67013591,2023-07-05 14:56,205890,1163557847,,0.197
18929402,0,David D'Apuzzo,page,https://en.wikipedia.org/wiki/David_D%27Apuzzo,David D'Apuzzo,Australian soccer player,male,1988-09-05,NA,Sydney,http://www.wikidata.org/entity/Q5232754,not indigenous,keep,en.wikipedia.org,David D'Apuzzo,0,45,30,94,62,25,31,,5021,2008-08-19,232858951,2023-07-05 14:56,205890,1163557848,,0.222
