pageid,title,wikibase_item,biography,personal_data
73827188,Tana Douglas,Q118444977,TRUE,
69038252,Maud Hobson,Q105751818,TRUE,
71808383,Maggie Moloney,Q114073667,TRUE,
72206169,Diana Mudgee,Q116172228,TRUE,
50603477,Catherine Helen Spence Memorial Scholarships,Q24962458,FALSE,
36767732,Victorian Honour Roll of Women,Q7927224,FALSE,
48843283,Ellia Green,Q22004661,TRUE,
2170928,Gayle and Gillian Blakeney,Q4171197,FALSE,
71764956,Michael Lo Sordo,Q114011679,TRUE,
38160750,Hal and Jim McElroy,Q5640961,FALSE,
48675950,Nervo (DJs),Q1349697,FALSE,
40049749,Say Lou Lou,Q14594632,FALSE,
25831102,The Spierig Brothers,Q7577128,FALSE,
66135588,Kristen Towers,Q104236367,TRUE,
2240187,The Veronicas,Q721992,FALSE,
53106296,Maurice Alter,Q28700752,TRUE,
68508353,Nigel Austin,Q108143206,TRUE,
53504400,Brett Blundy,Q28962504,TRUE,
66093764,Anthony Eisen,Q107861764,TRUE,
42530621,Scott Farquhar,Q23939847,TRUE,
68700805,Raphael Geminder,Q108513069,TRUE,
55094315,Jamuna Gurung (entrepreneur),Q39074688,TRUE,
67306783,Michael Heine,Q106380040,TRUE,
60581844,Justin Hemmes,Q63315419,TRUE,
72680605,Larry Kestelman,Q116049391,TRUE,
51584253,Prudence Murdoch,Q26924403,TRUE,
71739928,Cliff Obrecht,Q113952314,TRUE,
47884434,Katie Page,Q21067382,TRUE,
6273101,Bill and Imelda Roche,Q4911491,FALSE,
45381003,Vivek Chaand Sehgal,Q19666400,TRUE,
53548569,Manny Stul,Q28974463,TRUE,
54103714,John Van Lieshout,Q30010878,TRUE,
53107436,Leslie Alan Wilson,Q28709159,TRUE,
39083331,Edward Broughton,Q47843551,TRUE,
1449931,Gilbert Bennion,Q5560800,TRUE,
49596140,Mikelis Brizga,Q23071208,TRUE,
923412,Marcel Caux,Q6756065,TRUE,
13919827,Belinda Dann,Q4882874,TRUE,
58787500,Harold Davies (civil engineer),Q60693880,TRUE,
13647534,Ralph de Boissière,Q7288311,TRUE,
61312918,George Fisher (miner),Q65665745,TRUE,
12243460,Syd Lucas,Q3506837,TRUE,
54147523,Frank MacDonald,Q31397025,TRUE,
16308488,Edward Matthews (soldier),Q5344369,TRUE,
53407147,Lorna McDonald,Q6681374,TRUE,
11739261,Frank Scarrabelotti,Q4356787,TRUE,
44090554,Edmund Charles Spencer,Q18324581,TRUE,
58712802,Peter Thonemann,Q57722701,TRUE,
55458796,Edith Wall,Q41635489,TRUE,
10030939,William Young (veteran),Q16017968,TRUE,
1157616,Disappearance of the Beaumont children,Q4205186,FALSE,
60330178,Lennie Gwyther,Q65943240,TRUE,
72773576,Death of Patrick Cronin,Q116550692,FALSE,
61482523,Death of Thomas Kelly,Q66744365,FALSE,
11809088,Bodyline (miniseries),Q4937014,FALSE,
981584,Bruces sketch,Q4978550,FALSE,
19163,Bruces' Philosophers Song,Q3821582,FALSE,
24335464,Lae War Cemetery,Q6470860,FALSE,
378335,Walkabout (pub chain),Q7962149,FALSE,
60637902,Isabella Lombardo,Q65029482,TRUE,
